Miles,Date,Competitor
2.5,2024-02-01 21:09:00,User_1
2.0,2024-02-05 10:02:00,User_1
3.0,2024-02-06 16:46:00,User_1
2.5,2024-02-07 20:54:00,User_1
3.1,2024-02-09 16:45:00,User_1
2.23,2024-02-11 17:08:00,User_1
3.5,2024-02-12 19:01:00,User_1
1.5,2024-02-16 20:34:00,User_1
1.0,2024-02-17 14:18:00,User_1
1.75,2024-02-18 21:15:00,User_1
4.0,2024-02-20 20:21:00,User_1
4.0,2024-02-21 18:00:00,User_1
2.23,2024-02-29 08:54:00,User_1
3.0,2024-03-04 19:15:00,User_1
3.0,2024-03-12 11:40:00,User_1
2.0,2024-03-12 11:40:00,User_1
3.5,2024-03-14 17:00:00,User_1
2.0,2024-03-14 17:01:00,User_1
4.0,2024-03-21 19:37:00,User_1
3.0,2024-03-23 13:57:00,User_1
1.5,2024-03-28 06:04:00,User_1
3.0,2024-03-29 07:47:00,User_1
4.0,2024-04-05 06:12:00,User_1
1.5,2024-04-05 06:12:00,User_1
1.5,2024-04-05 11:42:00,User_1
3.0,2024-04-08 18:03:00,User_1
1.0,2024-04-29 20:18:00,User_1
1.0,2024-05-06 19:55:00,User_1
2.0,2024-09-11 07:12:00,User_1
1.59,2024-09-11 07:13:00,User_1
1.63,2024-09-11 07:14:00,User_1
2.03,2024-09-11 07:17:00,User_1
3.13,2024-09-12 07:33:00,User_1
2.07,2024-09-13 18:40:00,User_1
1.0,2024-09-13 18:40:00,User_1
0.53,2024-09-15 04:53:00,User_1
2.32,2024-09-15 22:13:00,User_1
2.47,2024-09-17 19:14:00,User_1
1.86,2024-09-18 19:21:00,User_1
2.69,2024-09-18 19:21:00,User_1
3.06,2024-09-20 08:00:00,User_1
2.38,2024-09-22 08:54:00,User_1
3.19,2024-09-22 08:55:00,User_1
1.27,2024-09-25 19:45:00,User_1
2.84,2024-09-25 19:45:00,User_1
2.47,2024-09-26 09:16:00,User_1
2.08,2024-09-28 16:13:00,User_1
2.0,2024-09-28 16:13:00,User_1
2.66,2024-09-30 09:19:00,User_1
3.26,2024-09-30 09:19:00,User_1
2.5,2024-02-04 21:18:00,User_2
3.0,2024-02-05 11:09:00,User_2
4.0,2024-02-06 15:36:00,User_2
4.0,2024-02-09 15:50:00,User_2
2.5,2024-02-11 18:29:00,User_2
4.0,2024-02-13 11:08:00,User_2
2.5,2024-02-18 15:29:00,User_2
3.0,2024-02-19 19:22:00,User_2
4.0,2024-02-20 11:06:00,User_2
2.0,2024-02-22 18:01:00,User_2
6.2,2024-02-25 15:47:00,User_2
4.3,2024-02-26 14:59:00,User_2
3.0,2024-02-28 10:39:00,User_2
4.0,2024-03-05 14:16:00,User_2
6.0,2024-03-07 12:33:00,User_2
2.0,2024-03-08 11:08:00,User_2
4.0,2024-03-10 11:23:00,User_2
8.0,2024-03-11 15:26:00,User_2
3.0,2024-03-23 22:26:00,User_2
4.0,2024-03-24 10:42:00,User_2
2.0,2024-04-01 09:33:00,User_2
2.5,2024-04-04 16:19:00,User_2
2.5,2024-04-08 10:55:00,User_2
3.5,2024-04-10 11:17:00,User_2
3.93,2024-09-12 12:55:00,User_2
3.82,2024-09-12 15:43:00,User_2
2.5,2024-09-16 14:19:00,User_2
4.27,2024-09-17 16:52:00,User_2
4.27,2024-09-20 15:25:00,User_2
2.5,2024-09-23 13:40:00,User_2
4.13,2024-09-24 13:11:00,User_2
3.84,2024-09-26 11:08:00,User_2
4.0,2024-09-30 15:31:00,User_2
4.06,2024-10-02 16:00:00,User_2
2.3,2024-10-06 14:09:00,User_2
2.5,2024-10-14 15:52:00,User_2
3.61,2024-10-16 05:08:00,User_2
3.5,2024-10-18 17:27:00,User_2
2.07,2024-10-31 10:38:00,User_2
3.77,2024-10-31 10:38:00,User_2
2.08,2024-10-31 10:38:00,User_2
4.01,2024-11-07 13:18:00,User_2
2.44,2024-11-07 13:18:00,User_2
3.0,2024-11-12 12:59:00,User_2
2.07,2024-02-05 13:22:00,User_3
2.26,2024-02-07 13:23:00,User_3
2.5,2024-02-08 13:23:00,User_3
2.01,2024-02-11 13:23:00,User_3
3.01,2024-02-13 18:46:00,User_3
3.25,2024-02-14 18:21:00,User_3
4.12,2024-02-17 23:16:00,User_3
4.0,2024-02-18 18:05:00,User_3
2.0,2024-02-19 17:52:00,User_3
3.59,2024-02-22 18:03:00,User_3
2.58,2024-09-17 19:04:00,User_3
1.55,2024-09-19 00:00:00,User_3
5.36,2024-09-21 17:51:00,User_3
3.97,2024-09-22 16:41:00,User_3
